Economy,Workstream,Assumption,Scenario,Justification,Signal Strength
Thailand,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Water Quality,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Water Quality,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Water Quality,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Water Quality,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Philippines,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Philippines,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Philippines,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Philippines,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
China,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
China,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
China,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
China,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Cloud Computing,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Cloud Computing,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Cloud Computing,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Cloud Computing,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
China,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
China,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
China,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
China,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Australia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Indonesia,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Political and institutional continuity,Pessimistic,crackdown,High
Thailand,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Thailand,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Supply chain and trade flow resilience,Baseline,No signal keywords detected.,Low
Unknown,Uncategorized,Private sector and stakeholder engagement,Baseline,No signal keywords detected.,Low
China,Uncategorized,Stakeholder alignment with U.S. focus areas,Baseline,No signal keywords detected.,Low
China,Uncategorized,Political and institutional continuity,Baseline,No signal keywords detected.,Low
